team,name,salary,playerID
Chicago Cubs,Kris Bryant,6888889,592178
Chicago Cubs,Anthony Rizzo,6111111,519203
Chicago Cubs,Craig Kimbrel,5925926,518886
Chicago Cubs,Kyle Hendricks,4444444,543294
Chicago Cubs,Jose Quintana,4259259,500779
Chicago Cubs,Javier Baez,3703704,595879
Chicago Cubs,Kyle Schwarber,2596296,656941
Chicago Cubs,Willson Contreras,1666667,575929
Chicago Cubs,Andrew Chafin,471324,605177
Chicago Cubs,Jason Kipnis,370370,543401
Chicago Cubs,Kyle Ryan,361111,594986
Chicago Cubs,David Bote,352852,623520
Chicago Cubs,Ryan Tepera,318408,572193
Chicago Cubs,Jeremy Jeffress,314815,502026
Chicago Cubs,Daniel Winkler,277778,0
Chicago Cubs,Cameron Maybin,232176,457727
Chicago Cubs,Ian Happ,231111,664023
Chicago Cubs,Victor Caratini,219259,605170
Chicago Cubs,Alec Mills,210926,621219
Chicago Cubs,Nico Hoerner,209259,663538
Chicago Cubs,Duane Underwood,209259,0
Chicago Cubs,Billy Hamilton,110558,571740
Chicago Cubs,Jason Adam,109025,592094
Chicago Cubs,Jason Heyward,23500000,518792
Chicago Cubs,Kris Bryant,19500000,592178
Chicago Cubs,Anthony Rizzo,16500000,519203
Chicago Cubs,Craig Kimbrel,16000000,518886
Chicago Cubs,Kyle Hendricks,14000000,543294
Chicago Cubs,Javier Baez,11650000,595879
Chicago Cubs,Zach Davies,8630000,605200
Chicago Cubs,Willson Contreras,6650000,575929
Chicago Cubs,Joc Pederson,4500000,592626
Chicago Cubs,Ian Happ,4100000,664023
Chicago Cubs,Trevor Williams,2500000,592866
Chicago Cubs,Andrew Chafin,2250000,605177
Chicago Cubs,Jake Marisnick,1000000,545350
Chicago Cubs,Daniel Winkler,900000,0
Chicago Cubs,Rex Brothers,850000,571521
Chicago Cubs,Ryan Tepera,800000,572193
Chicago Cubs,Alec Mills,600000,621219
Chicago Cubs,Adbert Alzolay,542256,640470
Chicago Cubs,Nico Hoerner,502988,663538
Chicago Cubs,Robinson Chirinos,483840,455139
Chicago Cubs,Keegan Thompson,472318,624522
Chicago Cubs,Adam Morgan,464544,605388
Chicago Cubs,Patrick Wisdom,401777,621550
Chicago Cubs,Kyle Ryan,399993,594986
Chicago Cubs,Rafael Ortega,398710,542364
Chicago Cubs,Sergio Alcantara,377241,642727
Chicago White Sox,Jose Abreu,16015000,547989
Chicago White Sox,Ivan Nova,9166668,467100
Chicago White Sox,Kelvin Herrera,8500000,516969
Chicago White Sox,Alex Colome,7325000,517008
Chicago White Sox,Welington Castillo,7250000,456078
Chicago White Sox,Yolmer Sanchez,4625000,570560
Chicago White Sox,James McCann,2500000,543510
Chicago White Sox,Eloy Jimenez,1833333,650391
Chicago White Sox,Leury Garcia,1550000,544725
Chicago White Sox,Tim Anderson,1400000,641313
Chicago White Sox,Reynaldo Lopez,580000,625643
Chicago White Sox,Yoan Moncada,575000,0
Chicago White Sox,Jace Fry,569000,605240
Chicago White Sox,Manny Banuelos,559000,544365
Chicago White Sox,Josh Osich,510264,592612
Chicago White Sox,Ryan Cordell,492360,641477
Chicago White Sox,Aaron Bummer,462520,607481
Chicago White Sox,Evan Marshall,453568,605359
Chicago White Sox,Jose Ruiz,420744,614179
Chicago White Sox,Ryan Goins,393150,572365
Chicago White Sox,Adam Engel,343840,641553
Chicago White Sox,Carson Fulmer,286464,608334
Chicago White Sox,Ross Detwiler,280496,446321
Chicago White Sox,Dylan Cease,265576,656302
Chicago White Sox,Jimmy Cordero,214848,622772
Chicago White Sox,Matt Skole,176056,605474
Chicago White Sox,Yasmani Grandal,6759259,518735
Chicago White Sox,Dallas Keuchel,6666667,572971
Chicago White Sox,Jose Abreu,5740740,547989
Chicago White Sox,Edwin Encarnacion,5074074,429665
Chicago White Sox,Alex Colome,3900926,517008
Chicago White Sox,Nomar Mazara,2059259,608577
Chicago White Sox,James McCann,2000000,543510
Chicago White Sox,Gio Gonzalez,1666667,461829
Chicago White Sox,Carlos Rodon,1648148,607074
Chicago White Sox,Tim Anderson,1481481,641313
Chicago White Sox,Eloy Jimenez,1388889,650391
Chicago White Sox,Yoan Moncada,1170370,0
Chicago White Sox,Luis Robert,555556,673357
Chicago White Sox,Aaron Bummer,370370,607481
Chicago White Sox,Jarrod Dyson,342736,502481
Chicago White Sox,Lucas Giolito,232222,608337
Chicago White Sox,Jace Fry,218519,605240
Chicago White Sox,Adam Engel,217778,641553
Chicago White Sox,Dylan Cease,212963,656302
Chicago White Sox,Jimmy Cordero,212593,622772
Chicago White Sox,Codi Heuer,208704,676051
Chicago White Sox,Reynaldo Lopez,200640,625643
Chicago White Sox,Matt Foster,190015,641582
Chicago White Sox,Nick Madrigal,183784,663611
Chicago White Sox,Jose Ruiz,118370,614179
Chicago White Sox,Dane Dunning,93450,641540
Chicago White Sox,Dallas Keuchel,18000000,572971
Chicago White Sox,Jose Abreu,17666666,547989
Chicago White Sox,Liam Hendriks,11333333,521230
Chicago White Sox,Lance Lynn,9333334,458681
Chicago White Sox,Tim Anderson,7250000,641313
Chicago White Sox,Yoan Moncada,6800000,0
Chicago White Sox,Lucas Giolito,4150000,608337
Chicago White Sox,Leury Garcia,3500000,544725
Chicago White Sox,Carlos Rodon,3000000,607074
Chicago White Sox,Adam Engel,1375000,641553
Chicago White Sox,Billy Hamilton,1250000,571740
Chicago White Sox,Jace Fry,843934,605240
Chicago White Sox,Brian Goodwin,618240,571718
Chicago White Sox,Dylan Cease,600000,656302
Chicago White Sox,Matt Foster,585000,641582
Chicago White Sox,Codi Heuer,585000,676051
Chicago White Sox,Zack Collins,575000,641470
Chicago White Sox,Jose Ruiz,575000,614179
Chicago White Sox,Garrett Crochet,572000,676979
Chicago White Sox,Michael Kopech,570500,656629
Chicago White Sox,Andrew Vaughn,570500,683734
Chicago White Sox,Danny Mendick,524457,664901
Chicago White Sox,Ryan Burr,395643,621114
Chicago White Sox,Gavin Sheets,300566,657757
Chicago White Sox,Jake Burger,285231,0
Chicago White Sox,Seby Zavala,272963,664874
Cincinnati Reds,Joey Votto,25000000,458015
Cincinnati Reds,Alex Wood,9650000,622072
Cincinnati Reds,Sonny Gray,7500000,543243
Cincinnati Reds,Eugenio Suarez,7285714,553993
Cincinnati Reds,Raisel Iglesias,6000000,628452
Cincinnati Reds,Trevor Bauer,4193548,545333
Cincinnati Reds,Tucker Barnhart,2937500,571466
Cincinnati Reds,Kevin Gausman,2815064,592332
Cincinnati Reds,Jose Peraza,2775000,606299
Cincinnati Reds,Jose Iglesias,2500000,578428
Cincinnati Reds,Anthony DeSclafani,2125000,543101
Cincinnati Reds,Derek Dietrich,2000000,518618
Cincinnati Reds,Michael Lorenzen,1950000,547179
Cincinnati Reds,Freddy Galvis,1053745,520471
Cincinnati Reds,Curt Casali,950000,592200
Cincinnati Reds,Amir Garrett,567500,607237
Cincinnati Reds,Robert Stephenson,565000,596112
Cincinnati Reds,Luis Castillo,557500,622491
Cincinnati Reds,Kyle Farmer,557500,571657
Cincinnati Reds,Tyler Mahle,453620,641816
Cincinnati Reds,Nick Senzel,447600,669222
Cincinnati Reds,Phillip Ervin,370016,640447
Cincinnati Reds,Josh VanMeter,364048,642165
Cincinnati Reds,Alex Blandino,320679,607468
Cincinnati Reds,Matthew Bowman,268560,0
Cincinnati Reds,Lucas Sims,229768,608371
Cincinnati Reds,Joey Votto,9259259,458015
Cincinnati Reds,Trevor Bauer,6481481,545333
Cincinnati Reds,Nick Castellanos,5925926,592206
Cincinnati Reds,Mike Moustakas,4444444,519058
Cincinnati Reds,Sonny Gray,4166630,543243
Cincinnati Reds,Raisel Iglesias,3333333,628452
Cincinnati Reds,Eugenio Suarez,2878307,553993
Cincinnati Reds,Shogo Akiyama,2222222,673451
Cincinnati Reds,Wade Miley,2222222,489119
Cincinnati Reds,Anthony DeSclafani,2212963,543101
Cincinnati Reds,Freddy Galvis,2037037,520471
Cincinnati Reds,Tucker Barnhart,1733796,571466
